entity_name,entity_type,matlab_path,python_path,matlab_code_lines,matlab_comment_markers,mirrored_pairs,comment_ratio,pair_ratio,order_violations,pass_check
nSpikeTrainExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nSpikeTrainExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nSpikeTrainExamples.ipynb,10,16,10,1.6,0.625,0,True
nSTATPaperExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nSTATPaperExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nSTATPaperExamples.ipynb,1574,2088,1567,1.326556543837357,0.7504789272030651,0,True
nstCollExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/nstCollExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/nstCollExamples.ipynb,16,22,16,1.375,0.7272727272727273,0,True
PPSimExample,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PPSimExample.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PPSimExample.ipynb,41,62,41,1.5121951219512195,0.6612903225806451,0,True
PPThinning,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PPThinning.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PPThinning.ipynb,40,56,40,1.4,0.7142857142857143,0,True
PSTHEstimation,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/PSTHEstimation.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/PSTHEstimation.ipynb,28,40,28,1.4285714285714286,0.7,0,True
SignalObjExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/SignalObjExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/SignalObjExamples.ipynb,81,98,79,1.2098765432098766,0.8061224489795918,0,True
StimulusDecode2D,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/StimulusDecode2D.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/StimulusDecode2D.ipynb,92,113,92,1.2282608695652173,0.8141592920353983,0,True
temp,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/temp.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/temp.ipynb,11,16,11,1.4545454545454546,0.6875,0,True
TrialConfigExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/TrialConfigExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/TrialConfigExamples.ipynb,3,5,3,1.6666666666666667,0.6,0,True
TrialExamples,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/TrialExamples.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/TrialExamples.ipynb,25,34,25,1.36,0.7352941176470589,0,True
ValidationDataSet,help_m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ValidationDataSet.m,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ValidationDataSet.ipynb,77,103,77,1.3376623376623376,0.7475728155339806,0,True
AnalysisExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/AnalysisExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/AnalysisExamples.ipynb,53,83,53,1.5660377358490567,0.6385542168674698,0,True
AnalysisExamples2,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/AnalysisExamples2.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/AnalysisExamples2.ipynb,55,77,55,1.4,0.7142857142857143,0,True
ConfigCollExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ConfigCollExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ConfigCollExamples.ipynb,3,5,3,1.6666666666666667,0.6,0,True
CovariateExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/CovariateExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/CovariateExamples.ipynb,19,31,19,1.631578947368421,0.6129032258064516,0,True
CovCollExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/CovCollExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/CovCollExamples.ipynb,10,20,10,2.0,0.5,0,True
DecodingExample,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/DecodingExample.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/DecodingExample.ipynb,57,70,57,1.2280701754385965,0.8142857142857143,0,True
DecodingExampleWithHist,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/DecodingExampleWithHist.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/DecodingExampleWithHist.ipynb,55,80,55,1.4545454545454546,0.6875,0,True
EventsExamples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/EventsExamples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/EventsExamples.ipynb,8,11,8,1.375,0.7272727272727273,0,True
Examples,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/Examples.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/Examples.ipynb,0,27,0,27.0,0.0,0,True
ExplicitStimulusWhiskerData,help_mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nSTAT-matlab-cleanup/helpfiles/ExplicitStimulusWhiskerData.mlx,/Users/iahncajigas/Library/CloudStorage/Dropbox/Research/Matlab/nstat-python-main-push/notebooks/ExplicitStimulusWhiskerData.ipynb,116,138,116,1.1896551724137931,0.8405797101449275,0,True
